Meshno,Category,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity
164,Teddy,0.946667,0.5,0.958904,0.25,0.985915,0.936,0.3,0.953425,0.15,0.980282,0.952,0.6,0.961644,0.3,0.988732
165,Teddy,0.962667,0.8,0.967123,0.4,0.994366,0.930667,0.2,0.950685,0.1,0.977465,0.962667,0.8,0.967123,0.4,0.994366
166,Teddy,0.968,0.9,0.969863,0.45,0.997183,0.941333,0.4,0.956164,0.2,0.983099,0.968,0.9,0.969863,0.45,0.997183
167,Teddy,0.952,0.6,0.961644,0.3,0.988732,0.930667,0.2,0.950685,0.1,0.977465,0.952,0.6,0.961644,0.3,0.988732
168,Teddy,0.962667,0.8,0.967123,0.4,0.994366,0.936,0.3,0.953425,0.15,0.980282,0.968,0.9,0.969863,0.45,0.997183
169,Teddy,0.957333,0.7,0.964384,0.35,0.991549,0.941333,0.4,0.956164,0.2,0.983099,0.968,0.9,0.969863,0.45,0.997183
170,Teddy,0.962667,0.8,0.967123,0.4,0.994366,0.941333,0.4,0.956164,0.2,0.983099,0.968,0.9,0.969863,0.45,0.997183
171,Teddy,0.962667,0.8,0.967123,0.4,0.994366,0.936,0.3,0.953425,0.15,0.980282,0.957333,0.7,0.964384,0.35,0.991549
172,Teddy,0.941333,0.4,0.956164,0.2,0.983099,0.930667,0.2,0.950685,0.1,0.977465,0.941333,0.4,0.956164,0.2,0.983099
173,Teddy,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
174,Teddy,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,0.946667,0.5,0.958904,0.25,0.985915
175,Teddy,0.968,0.9,0.969863,0.45,0.997183,0.946667,0.5,0.958904,0.25,0.985915,0.957333,0.7,0.964384,0.35,0.991549
176,Teddy,0.936,0.3,0.953425,0.15,0.980282,0.941333,0.4,0.956164,0.2,0.983099,0.936,0.3,0.953425,0.15,0.980282
177,Teddy,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,0.952,0.6,0.961644,0.3,0.988732
178,Teddy,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,0.952,0.6,0.961644,0.3,0.988732
179,Teddy,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,0.952,0.6,0.961644,0.3,0.988732
180,Teddy,0.957333,0.7,0.964384,0.35,0.991549,0.936,0.3,0.953425,0.15,0.980282,0.957333,0.7,0.964384,0.35,0.991549
181,Hand,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465,0.936,0.3,0.953425,0.15,0.980282
182,Hand,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282
183,Hand,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648
184,Hand,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282
